"Ticker","Nome","Negócios","Última (R$)","Variação"
"PDTC3","Padtec","15.000","1,05","+5,00%"
"EALT4","Electro Aço Altona","14.400","11,05","+2,79%"
"UCAS3","Unicasa","13.800","1,32","-0,75%"
"CEBR6","CEB","13.500","25,70","+3,05%"
"BRKM3","Braskem","13.500","9,13","-0,76%"
"BAZA3","Banco da Amazônia","13.000","72,29","+1,43%"
"FICT3","Fictor Alimentos","12.400","3,40","-2,86%"
"AMAR11","Lojas Marisa","12.100","0,19","+5,56%"
"TPIS3","Triunfo","11.300","3,66","+1,67%"
"BMEB4","Banco Mercantil do Brasil","10.900","42,70","+1,21%"
"HOOT4","Hotéis Othon","10.700","3,80","+0,00%"
"CEBR5","CEB","10.100","23,22","+3,99%"
"TASA3","Taurus","9.700","5,60","+2,19%"
"LAND3","Terra Santa","9.600","10,03","-3,56%"
"GSHP3","General Shopping & Outlets","9.000","2,68","-10,37%"
"SCAR3","São Carlos","8.800","20,55","+0,34%"
"UNIP3","Unipar","8.700","54,60","+1,11%"
"EQPA3","Equatorial Energia Pará","8.700","5,58","-0,71%"
"VSTE3","LE LIS BLANC","8.600","5,79","-0,69%"
"RAPT3","Randon","7.500","6,29","-1,56%"
"AZEV11","Azevedo & Travassos","7.000","0,10","+0,00%"
"ESTR4","Estrela","6.700","5,79","-10,79%"
"ALUP4","Alupar","6.500","9,50","+0,96%"
"WHRL4","Whirlpool","6.300","4,58","+0,66%"
"ENGI3","Energisa","6.000","13,50","+1,50%"
"REAG3","REAG3","5.900","3,87","-0,26%"
"PINE3","Banco Pine","5.800","6,13","+0,82%"
"DOTZ3","Dotz","5.400","7,40","+0,68%"
"AVLL3","Alphaville","4.400","1,64","-0,61%"
"ALUP3","Alupar","4.000","10,62","-0,19%"
"PTNT4","Pettenati","3.900","4,61","-2,95%"
"CGRA4","Grazziotin","3.700","26,49","+1,49%"
"HAGA4","Haga","3.300","1,16","-2,52%"
"BSLI3","Banco de Brasília","3.100","8,74","-1,47%"
"ALPA3","Alpargatas","3.000","8,74","-0,68%"
"RSID3","Rossi Residencial","2.900","1,93","-0,52%"
"CCTY3","RDVC CITY","2.800","48,00","+7,00%"
"CCTY3","REDVECO PROPERTIES S.A","2.800","48,00","+7,00%"
"TKNO4","Tekno","2.700","171,88","-4,51%"
"NGRD3","Neogrid","2.700","26,46","+0,19%"
"ENGI4","Energisa","2.600","8,51","-0,93%"
"TELB4","Telebras","2.400","7,50","-1,19%"
"GEPA4","Rio Paranapanema Energia","2.100","35,58","+0,94%"
"CRPG5","Tronox Pigmentos","2.100","14,76","-4,77%"
"JFEN3","João Fortes","2.100","1,53","+0,00%"
"LOGN3","Log-In","2.000","24,55","-1,76%"
"RVEE3","REVEE S.A.","2.000","23,95","+19,75%"
"RVEE3","REVEE","2.000","23,95","+19,75%"
"DOHL4","Döhler","1.900","3,79","+2,16%"
"LUXM4","Trevisa","1.900","3,69","+0,82%"
"RSUL4","Metalúrgica Riosulense","1.800","66,49","+0,53%"
"RDNI3","RNI","1.800","2,08","+0,48%"
"MNPR3","Minupar","1.700","32,15","-1,05%"
"FIEI3","Fica","1.600","22,00","+0,05%"
"EMAE4","EMAE","1.500","28,50","+0,00%"
"BRSR3","Banrisul","1.300","11,85","-0,42%"
"GEPA3","Rio Paranapanema Energia","1.200","33,81","+2,15%"
"EQMA3B","Equatorial Maranhão","1.200","30,00","+2,35%"
"WLMM4","WLM","1.200","21,10","-0,42%"
"NUTR3","Nutriplant","1.200","2,76","+1,10%"
"BPAC3","Banco BTG Pactual","1.100","23,00","-1,67%"
"MGEL4","Mangels","1.100","4,91","+1,03%"
"NEXP3","Brasil Brokers","1.100","3,55","-2,47%"
"BGIP4","Banese","1.000","28,46","+2,08%"
"EUCA3","Eucatex","1.000","19,04","+0,21%"
"TELB3","Telebras","1.000","11,51","+1,41%"
"RNEW11","Renova Energia","1.000","2,95","-3,28%"
"PINE11","Banco Pine","900","10,95","+8,42%"
"ATED3","ATOM EDUCAÇÃO E EDITORA S.A.","900","2,10","-0,47%"
"CLSC4","Celesc","700","102,97","-0,49%"
"ISAE3","ISA Energia","600","30,50","+1,30%"
"FESA3","Ferbasa","600","12,10","+8,04%"
"BPAC5","Banco BTG Pactual","600","9,95","-0,70%"
"PPLA11","PPLA","532","0,87","-1,14%"
"PATI3","Panatlântica","500","43,65","-2,98%"
"MNDL3","Mundial","500","18,00","+0,06%"
"SNSY5","Sansuy","500","3,49","-1,69%"
"UNIP5","Unipar","400","61,23","+2,29%"
"BALM4","Baumer","400","15,90","-2,81%"
"PTNT3","Pettenati","400","8,81","-2,97%"
"PLAS3","Plascar","400","5,12","+2,20%"
"CGAS5","Comgás","300","126,71","-0,04%"
"BNBR3","Banco do Nordeste","300","97,00","+1,04%"
"MTSA4","Metisa","300","40,98","-0,05%"
"IGTI4","Iguatemi","300","9,80","-5,95%"
"IGTI4","Jereissati Participações","300","9,80","-5,95%"
"DEXP4","Dexxos","300","8,69","+1,64%"
"REDE3","Rede Energia","300","6,33","+1,61%"
"CTSA3","Santanense","300","2,96","+12,98%"
"HAGA3","Haga","300","1,99","+3,11%"
"ENMT4","Energisa MT","200","52,99","-1,87%"
"BMEB3","Banco Mercantil do Brasil","200","37,71","-3,31%"
"PATI4","Panatlântica","200","36,70","-1,95%"
"CGRA3","Grazziotin","200","26,24","+0,00%"
"MWET4","Wetzel","200","10,53","-0,66%"
"OSXB3","OSX Brasil","200","2,44","+0,00%"
"BALM3","Baumer","100","20,80","+0,97%"
"BMIN4","Banco Mercantil de Investimentos","100","17,03","+0,89%"
"EALT3","Electro Aço Altona","100","14,35","-0,35%"
"CEDO4","Cedro Têxtil","100","11,80","+2,61%"
"BRKM6","Braskem","100","7,50","+0,00%"
"BMKS3","Monark","2","419,00","-3,68%"
"RPMG3","Refinaria de Manguinhos","11.200","2,92","+0,00%"
"BSLI4","Banco de Brasília","1.200","10,20","-7,52%"
"BAUH4","Excelsior","400","86,97","+0,00%"
"EKTR4","Elektro","400","49,00","+2,08%"
"CEEB3","COELBA","300","37,69","+2,11%"
"MAPT4","Cemepe","300","3,30","+5,10%"
"CRPG3","Tronox Pigmentos","200","17,00","-5,50%"
"CEED3","CEEE D","200","7,60","-4,88%"
"MOAR3","Monteiro Aranha","100","120,04","+0,00%"
"HBTS5","Habitasul","100","32,00","+10,15%"
"AHEB3","São Paulo Turismo","100","31,95","+0,00%"
"WLMM3","WLM","100","23,80","-0,38%"
"AFLT3","Afluente T","100","7,21","-6,73%"
"HETA4","Hercules","100","4,90","+1,03%"
"RPAD3","Alfa Holdings","1.000","4,90","+4,48%"
"CPLE5","Copel","100","12,57","+0,00%"
"CTSA4","Santanense","100","2,68","+8,50%"
"CBEE3","Ampla Energia","800","13,62","+0,89%"
"COCE3","Coelce","100","36,00","+12,50%"
"LUPA11","LUPA11","100","0,06","+0,00%"
"PEAB3","Participações Aliança da Bahia","200","38,79","-0,03%"
"SOND5","Sondotécnica","100","54,98","+5,73%"
"SOND6","Sondotécnica","100","52,90","+5,78%"
"EMAE3","EMAE","150.700","150,00","-0,01%"
"BDLL3","Bardella","2.600","7,50","+0,00%"
"CTKA4","Karsten","1.000","35,01","+6,74%"
"SNSY3","Sansuy","600","11,00","-3,93%"
"ENMT3","Energisa MT","400","54,00","-3,57%"
"CTKA3","Karsten","100","33,00","+0,00%"
"MRSA3B","MRS Logística","100","27,90","+5,28%"
"CLSC3","Celesc","2.300","99,10","-1,69%"
"CRPG6","Tronox Pigmentos","300","16,00","+3,29%"
"FRIO3","Metalfrio","500","229,99","-8,00%"
"PSVM11","PORTO VM","100","5,70","-0,52%"
